home_elo,away_elo,elo_diff,home_avg_overall,home_max_overall,home_avg_attack,home_avg_defense,home_avg_pace,home_avg_shooting,home_avg_passing,away_avg_overall,away_max_overall,away_avg_attack,away_avg_defense,away_avg_pace,away_avg_shooting,away_avg_passing,overall_diff,attack_diff,defense_diff,home_form_scored,home_form_conceded,home_form_win_rate,away_form_scored,away_form_conceded,away_form_win_rate,is_neutral,is_world_cup,is_continental,home_goals,away_goals,_home_team,_away_team,_date,_tournament,home_trophy_bonus,away_trophy_bonus
1738.562024,1400.16862,338.3934037,70.84615385,89,69.11111111,74.75,67.61538462,61.38461538,62.69230769,59.5,64,55.0,59.5,73.5,35.5,48.5,11.34615385,14.11111111,15.25,1.8,1.4,0.6,1.0,0.8,0.2,0,0,0,2,0,Egypt,Malawi,24-03-2023,African Nations Cup qualifier,0.2,0.0
1660.51519,1605.766026,54.74916447,66.6,72,67.0,65.25,68.8,53.2,57.2,68.64285714,74,68.6,69.14285714,68.83333333,56.41666667,60.33333333,-2.042857143,-1.6,-3.892857143,1.4,0.4,0.6,0.4,2.6,0.0,1,0,0,1,0,Uzbekistan,Bolivia,24-03-2023,Friendly,0.0,0.0
1677.677659,1708.381595,-30.70393602,71.92857143,77,71.5,71.9,75.92307692,54.84615385,62.30769231,72.78571429,77,72.71428571,72.5,70.84615385,65.46153846,64.15384615,-0.857142857,-1.214285714,-0.6,0.8,1.6,0.2,1.8,0.8,0.6,0,0,0,1,2,Saudi Arabia,Venezuela,24-03-2023,Friendly,0.0,0.0
1860.940128,1890.761315,-29.82118705,78.0,81,78.33333333,77.5,78.07692308,65.76923077,72.30769231,81.28571429,88,81.0,81.1,75.38461538,65.07692308,70.76923077,-3.285714286,-2.666666667,-3.6,1.2,1.2,0.4,0.8,0.6,0.4,0,0,0,1,1,Japan,Uruguay,24-03-2023,Friendly,0.0,0.1
1578.0,1195.0,383.0,69.5,75,69.8,68.5,74.2,57.8,62.3,57.0,63,56.5,57.0,67.0,50.0,54.0,12.5,13.3,11.5,0.8,1.0,0.3,0.8,1.0,0.3,0,0,0,0,0,Cape Verde,Eswatini,24-03-2023,African Nations Cup qualifier,0.0,0.0
1701.437575,1422.508852,278.9287227,78.5,83,77.8,78.0,76.92857143,65.35714286,69.5,66.25,74,67.28571429,64.71428571,76.36363636,55.81818182,60.09090909,12.25,10.51428571,13.28571429,2.0,0.8,0.6,0.8,1.6,0.2,0,0,0,3,1,Ivory Coast,Comoros,24-03-2023,African Nations Cup qualifier,0.0,0.0
1813.845027,1937.513017,-123.6679904,77.07142857,81,77.625,76.0,72.30769231,66.46153846,72.23076923,82.64285714,91,83.83333333,82.0,69.4,75.6,78.2,-5.571428571,-6.208333333,-6.0,1.8,0.6,0.8,0.4,1.0,0.2,0,0,0,0,3,Sweden,Belgium,24-03-2023,European Championship qual,0.0,0.0
1763.514655,1424.846681,338.6679745,78.5,86,79.16666667,78.42857143,76.69230769,66.61538462,65.84615385,73.66666667,81,68.0,76.5,83.66666667,53.33333333,60.33333333,4.833333333,11.16666667,1.928571429,1.2,1.6,0.4,0.6,0.8,0.2,0,0,0,5,1,Senegal,Mozambique,24-03-2023,African Nations Cup qualifier,0.1,0.0
1756.114155,1819.280778,-63.16662302,77.21428571,83,78.0,76.77777778,72.72727273,71.09090909,71.36363636,79.42857143,90,80.57142857,78.33333333,79.75,73.25,74.625,-2.214285714,-2.571428571,-1.555555556,1.4,2.0,0.2,0.8,1.0,0.4,0,0,0,3,1,Czech Republic,Poland,24-03-2023,European Championship qual,0.0,0.0
2006.956349,2005.975651,0.980698362,86.14285714,91,87.5,85.33333333,84.92307692,73.07692308,77.0,83.21428571,89,82.14285714,83.77777778,78.92307692,65.15384615,73.46153846,2.928571429,5.357142857,1.555555556,2.0,1.2,0.6,2.0,0.8,0.6,0,0,0,4,0,France,Netherlands,24-03-2023,European Championship qual,0.6,0.1
1766.230621,1480.029841,286.2007805,79.64285714,85,78.71428571,80.5,71.92857143,63.35714286,71.0,65.83333333,71,65.0,70.5,71.4,57.4,50.8,13.80952381,13.71428571,10.0,0.8,1.4,0.4,2.4,0.6,1.0,0,0,0,4,1,Austria,Azerbaijan,24-03-2023,European Championship qual,0.0,0.0
1320.07377,1836.446149,-516.3723788,65.0,70,64.0,64.83333333,68.0,54.5,57.125,76.64285714,79,76.85714286,76.375,75.46153846,60.0,67.46153846,-11.64285714,-12.85714286,-11.54166667,1.6,1.4,0.2,0.6,1.0,0.2,0,0,0,1,7,Grenada,United States,24-03-2023,CONCACAF Nations League A,0.0,0.075
1769.011038,1465.855675,303.1553632,72.28571429,81,71.5,72.09090909,71.76923077,61.0,65.53846154,72.5,81,70.0,73.33333333,72.0,62.75,64.75,-0.214285714,1.5,-1.242424242,0.8,1.2,0.4,1.2,1.0,0.6,0,0,0,3,0,Tunisia,Libya,24-03-2023,African Nations Cup qualifier,0.0,0.0
1326.857839,1598.993525,-272.135686,63.0,65,63.0,63.0,62.5,38.5,51.0,66.0,72,64.0,66.33333333,77.0,51.83333333,59.5,-3.0,-1.0,-3.333333333,1.8,2.8,0.4,3.2,1.2,0.6,0,0,0,0,4,Montserrat,Haiti,25-03-2023,CONCACAF Nations League B,0.0,0.0
1847.457827,2078.686202,-231.2283751,79.28571429,85,79.0,80.71428571,70.84615385,65.92307692,72.0,86.14285714,89,85.83333333,86.375,81.58333333,69.25,74.41666667,-6.857142857,-6.833333333,-5.660714286,0.8,1.0,0.4,1.6,0.6,0.6,0,0,0,2,1,Morocco,Brazil,25-03-2023,Friendly,0.5,0.0
1509.303191,1864.236073,-354.9328811,64.0,66,64.0,64.0,68.33333333,58.66666667,56.33333333,79.78571429,87,77.0,80.25,71.7,63.0,71.3,-15.78571429,-13.0,-16.25,0.6,1.4,0.2,1.0,2.2,0.4,1,0,0,0,5,Belarus,Switzerland,25-03-2023,European Championship qual,0.0,0.0
1755.744925,1458.096358,297.6485676,76.92857143,86,75.16666667,77.45454545,75.15384615,66.69230769,72.53846154,66.57142857,71,66.4,66.66666667,66.91666667,51.91666667,56.5,10.35714286,8.766666667,10.78787879,2.0,0.8,0.6,1.4,2.2,0.4,0,0,0,3,0,Scotland,Cyprus,25-03-2023,European Championship qual,0.0,0.0
1969.285286,1774.48981,194.7954762,84.64285714,89,83.8,85.14285714,70.61538462,72.92307692,81.84615385,77.78571429,91,81.4,75.875,76.14285714,66.28571429,70.28571429,6.857142857,2.4,9.267857143,2.4,0.8,0.4,1.4,1.6,0.4,0,0,0,3,0,Spain,Norway,25-03-2023,European Championship qual,0.6,0.0
1913.359752,1765.695937,147.663815,80.57142857,87,79.5,80.33333333,69.38461538,66.30769231,76.38461538,74.35714286,77,75.0,74.11111111,68.5,56.75,66.75,6.214285714,4.5,6.222222222,0.8,1.2,0.2,0.4,1.8,0.0,0,0,0,1,1,Croatia,Wales,25-03-2023,European Championship qual,0.2,0.0
1930.702442,1836.214185,94.48825737,85.57142857,89,84.6,86.11111111,71.45454545,74.36363636,80.54545455,73.92857143,78,74.0,74.0,68.58333333,66.33333333,66.5,11.64285714,10.6,12.11111111,2.0,1.6,0.4,1.2,0.4,0.6,0,0,0,2,0,Germany,Peru,25-03-2023,Friendly,0.1,0.0
1537.118368,1755.921024,-218.8026562,67.66666667,81,69.125,64.33333333,73.5,57.58333333,61.25,78.35714286,85,78.66666667,77.88888889,73.58333333,63.41666667,70.75,-10.69047619,-9.541666667,-13.55555556,1.0,3.2,0.0,2.0,1.4,0.6,0,0,0,1,2,Armenia,Turkey,25-03-2023,European Championship qual,0.0,0.0
1766.738804,1732.004764,34.73404036,72.07142857,79,71.71428571,71.25,71.1,66.1,69.2,63.38461538,69,63.5,66.0,66.53846154,53.23076923,55.0,8.686813187,8.214285714,5.25,0.6,0.6,0.2,2.4,0.6,0.8,0,0,0,2,0,Russia,Iraq,26-03-2023,Friendly,0.0,0.0
